Movies Titles,Movies Years,Movies Genre,Movies IMDB Rating,Movies Runtime,Movies Production Country,Movies Streaming Platforms
Gaami,2024,"Mystery & Thriller, Science-Fiction, Fantasy, Drama",6.6,2h 27min,India,Zee5
K.G.F: Chapter 2,2022,"Drama, Mystery & Thriller, Action & Adventure, Crime",8.3,2h 46min,India,"Amazon Video , Amazon Prime Video"
The Lord of the Rings: The Fellowship of the Ring,2001,"Fantasy, Action & Adventure, Drama",8.9,2h 59min,"United States, New Zealand","Google Play Movies , YouTube , Jio Cinema , Netflix , Apple TV , Amazon Prime Video , Amazon Video"
Operation Valentine,2024,"Action & Adventure, War & Military, Mystery & Thriller, Drama",5.2,2h 12min,India,"Amazon Video , Amazon Prime Video"
OMG 2,2023,"Comedy, Drama",7.6,2h 35min,India,"Jio Cinema , Netflix"
Ghostbusters: Frozen Empire,2024,"Fantasy, Action & Adventure, Comedy, Science-Fiction",6.2,1h 55min,United States,Bookmyshow
Krishnamma,2024,"Action & Adventure, Drama",6.5,2h 10min,India,"Amazon Video , Amazon Prime Video"
Idi Minnal Kadhal,2024,"Drama, Action & Adventure",9.5,2h 11min,India,"aha , Amazon Prime Video"
Dada,2023,"Comedy, Romance, Drama, Kids & Family",8.1,2h 15min,India,Amazon Prime Video
Angithee 2,2023,"Drama, Romance",8.0,1h 19min,India,"VI movies and tv , ShemarooMe"
Hridayam,2022,"Drama, Romance",8.1,2h 52min,India,Hotstar
Interstellar,2014,"Action & Adventure, Drama, Science-Fiction",8.7,2h 49min,"United States, United Kingdom","Google Play Movies , YouTube , Jio Cinema , Netflix , Apple TV , Amazon Prime Video , Tata Play , Amazon Video"
Ravening,2019,"Fantasy, Horror, Romance, Drama",7.9,1h 47min,India,"MovieSaints , Sony Liv"
Silence 2: The Night Owl Bar Shootout,2024,"Crime, Mystery & Thriller",6.3,2h 22min,India,Zee5
Akelli,2023,"Drama, Mystery & Thriller, Action & Adventure",6.1,2h 7min,India,Jio Cinema
K.G.F: Chapter 1,2018,"Mystery & Thriller, Action & Adventure, Crime, Drama",8.2,2h 36min,India,Hotstar
Kaam Chalu Hai,2024,"War & Military, Drama",8.4,1h 22min,India,Zee5
Om Bheem Bush,2024,"Comedy, Horror",5.8,2h 30min,India,"Amazon Video , Amazon Prime Video"
